driver_Num,trip_Num
1,14
1,21
1,39
1,53
1,65
1,90
1,106
1,123
1,133
1,146
1,155
1,159
1,161
1,169
1,177
1,186
10,17
10,29
10,111
10,114
100,20
100,58
100,78
100,89
100,106
100,126
100,129
100,149
1000,21
1000,60
1000,102
1000,146
1000,162
1000,176
1001,8
1002,6
1002,36
1002,78
1002,113
1002,130
1002,131
1002,132
1003,181
1004,12
1004,27
1004,36
1004,61
1004,71
1004,77
1004,96
1004,106
1004,114
1004,124
1004,126
1004,133
1004,145
1004,161
1004,174
1004,183
1005,9
1005,114
1005,124
1006,66
1006,84
1006,115
1008,116
1008,157
1008,186
1009,11
1009,94
101,9
101,16
101,44
101,69
101,99
101,149
101,157
101,180
1010,18
1010,106
1011,112
1011,126
1012,59
1012,116
1012,124
1013,192
1015,13
1015,102
1015,128
1016,34
1016,58
102,174
1020,50
1020,65
1021,121
1022,29
1022,90
1022,180
1023,12
1023,124
1023,169
1023,187
1023,195
1024,129
1024,150
1025,36
1025,39
1025,63
1025,126
1025,189
1025,194
1025,200
1026,154
1026,180
1027,1
1027,47
1027,89
1027,129
1027,140
1029,16
1029,23
1029,40
1029,41
1029,71
1029,72
1029,84
1029,86
1029,90
1029,127
103,67
103,121
103,131
1031,29
1031,30
1031,62
1031,86
1031,108
1031,121
1031,186
1032,4
1032,18
1032,21
1032,170
1032,182
1032,183
1032,192
1033,37
1033,48
1033,66
1033,76
1033,118
1033,119
1033,122
1033,159
1035,18
1035,137
1035,156
1035,183
1035,192
1035,199
1036,37
1036,38
1036,67
1036,84
1036,98
1036,139
1036,163
1036,164
1036,187
1037,32
1037,61
1037,69
1037,103
1037,107
1037,131
1037,150
1037,161
1037,162
1037,176
1038,23
1038,73
1038,123
1038,185
1038,189
104,14
104,55
104,92
1040,32
1040,71
1040,146
1040,180
1043,32
1044,8
1044,33
1044,48
1044,100
1044,106
1044,166
1044,174
1044,175
1044,186
1045,3
1045,10
1045,15
1045,19
1045,51
1045,74
1045,81
1045,97
1045,135
1045,145
1045,180
1045,200
1046,39
1046,90
1046,143
1046,167
1047,199
1048,33
1048,116
1048,180
1048,195
1049,108
105,27
105,66
105,71
105,72
105,87
105,100
105,122
105,124
105,126
105,145
105,157
105,200
1051,4
1051,6
1051,32
1051,37
1051,68
1051,74
1051,77
1051,98
1051,113
1051,173
1052,18
1052,28
1052,38
1052,42
1052,52
1052,55
1052,58
1052,115
1052,123
1052,138
1052,142
1052,154
1052,162
1053,1
1053,6
1053,25
1053,40
1053,48
1053,55
1053,109
1053,116
1053,125
1053,140
1053,184
1053,190
1053,200
1054,1
1054,6
1054,30
1054,36
1054,41
1054,42
1054,49
1054,69
1054,71
1054,74
1054,85
1054,108
1054,128
1054,132
1054,134
1054,138
1054,140
1054,154
1054,161
1054,162
1054,176
1054,180
1054,184
1054,187
1054,188
1054,195
1055,190
1056,3
1056,15
1056,16
1056,19
1056,30
1056,33
1056,60
1056,70
1056,76
1056,83
1056,86
1056,88
1056,107
1056,111
1056,112
1056,113
1056,119
1056,120
1056,135
1056,140
1056,142
1056,148
1056,166
1056,174
1056,181
1056,190
1056,200
1057,62
1057,173
1058,6
1058,34
1058,59
1058,65
1058,81
1058,84
1058,90
1058,128
1058,154
1058,156
1058,161
1058,176
1059,109
1059,195
106,1
106,19
106,61
106,91
106,95
106,131
106,135
106,144
106,149
106,169
106,170
1061,22
1061,118
1062,57
1062,61
1063,168
1064,28
1064,56
1064,63
1064,132
1065,189
1065,196
1066,47
1066,100
1066,103
1066,113
1067,40
1067,97
1067,122
1067,156
1067,192
1067,193
1068,50
1068,84
1068,127
1069,47
1069,48
1069,49
1069,109
1069,145
1069,152
1069,174
107,53
107,115
107,198
1070,16
1071,2
1071,17
1071,95
1071,200
1072,23
1072,46
1072,53
1072,73
1072,102
1072,111
1072,112
1072,118
1072,140
1073,8
1073,57
1073,63
1073,110
1074,12
1074,16
1074,79
1076,1
1076,53
1076,92
1076,159
1077,43
1077,80
1077,110
1077,123
1077,140
1078,23
1078,32
1078,58
1078,67
1078,108
1078,153
1078,164
1078,165
1078,169
1078,187
1078,191
1079,62
1079,159
108,140
1081,3
1081,47
1081,66
1081,90
1081,148
1081,153
1081,190
1082,7
1082,23
1082,28
1082,34
1082,42
1082,46
1082,62
1082,92
1082,116
1082,134
1083,109
1083,192
1084,161
1085,1
1085,13
1085,25
1085,54
1086,34
1086,51
1086,90
1086,118
1086,119
1087,9
1087,17
1088,88
1088,91
1088,119
1089,6
1089,19
1089,25
1089,34
1089,50
1089,65
1089,99
1089,127
1089,163
1089,164
1089,177
109,70
109,81
109,96
109,116
109,164
1090,23
1090,28
1090,89
1090,110
1090,122
1091,3
1092,11
1092,43
1092,51
1092,169
1092,177
1093,67
1093,70
1093,83
1093,110
1094,29
1094,34
1094,92
1095,14
1095,71
1095,100
1096,26
1096,106
1096,109
1096,166
1096,177
1097,22
1098,4
1098,14
1098,81
1098,174
110,30
110,31
110,66
110,87
110,97
110,106
110,199
1100,166
1101,23
1101,26
1101,30
1101,41
1101,95
1101,118
1101,153
1101,180
1101,185
1102,67
1103,16
1103,39
1103,73
1103,85
1103,124
1103,137
1103,150
1104,27
1104,31
1104,40
1104,46
1104,49
1104,159
1104,167
1105,32
1105,102
1105,149
1106,14
1106,76
1107,3
1107,33
1107,111
1107,138
1107,140
1107,157
1107,186
1108,103
1108,196
1109,18
1109,19
1109,112
1109,134
1109,154
1109,165
111,25
111,31
111,95
111,101
111,129
111,136
111,141
1110,40
1110,95
1110,117
1111,4
1111,5
1111,169
1113,28
1113,61
1113,99
1113,129
1113,137
1113,169
1114,11
1114,16
1114,55
1114,119
1114,124
1114,159
1115,163
1115,166
1117,1
1117,18
1117,21
1117,32
1117,37
1117,52
1117,77
1117,91
1117,130
1117,200
1118,2
1118,32
1118,42
1118,67
1118,76
1118,85
1118,89
1118,114
1118,118
1118,127
1118,139
1118,140
1118,168
1119,87
1119,149
1121,1
1121,14
1121,46
1121,115
1121,124
1121,144
1121,166
1121,167
1122,136
1124,3
1124,20
1124,25
1124,32
1124,39
1124,40
1124,44
1124,57
1124,58
1124,59
1124,81
1124,106
1124,141
1124,144
1124,147
1124,159
1124,160
1124,161
1124,171
1124,176
1124,180
1124,183
1124,189
1124,190
1125,18
1125,32
1126,73
1127,81
1128,4
1128,44
1128,64
1128,91
1128,106
1128,110
1128,113
1128,125
1128,132
1128,153
1128,154
1128,200
1129,19
1129,54
1129,113
1129,165
113,62
113,132
113,190
1130,68
1130,82
1130,98
1130,111
1130,134
1130,194
1130,199
1131,41
1131,70
1131,93
1131,101
1131,122
1131,152
1132,13
1132,51
1132,91
1132,168
1133,40
1133,67
1133,78
1133,119
1133,165
1135,23
1135,153
1137,10
1137,80
1137,81
1137,95
1139,181
1139,195
114,18
114,23
114,157
1140,1
1140,6
1140,10
1140,12
1140,13
1140,15
1140,18
1140,19
1140,22
1140,23
1140,44
1140,47
1140,50
1140,53
1140,54
1140,59
1140,62
1140,69
1140,70
1140,80
1140,81
1140,84
1140,87
1140,88
1140,93
1140,94
1140,95
1140,96
1140,102
1140,113
1140,114
1140,115
1140,117
1140,124
1140,134
1140,135
1140,139
1140,140
1140,141
1140,142
1140,148
1140,149
1140,152
1140,162
1140,172
1140,174
1140,175
1140,180
1140,185
1140,191
1140,193
1141,12
1141,98
1141,112
1141,151
1141,200
1041,5
1041,81
1060,4
1060,11
1060,18
1060,93
1060,133
1060,143
1060,178
1060,179
1080,2
1080,32
1080,75
1080,97
1080,118
1080,130
